Date,SPY,BTC,AAPL,MSFT,IBM,GLDI,V
1/24/2017,227.600006,892.687012,119.9700012,63.52000046,175.8999939,9.340000153,83.23000336
1/31/2017,227.529999,970.403015,121.3499985,64.65000153,174.5200043,9.369999886,82.70999908
2/7/2017,228.940002,1061.349976,131.5299988,63.43000031,178.4600067,9.479999542,85.77999878
2/14/2017,233.699997,1004.549988,135.0200043,64.56999969,180.1300049,9.451000214,86.84999847
2/21/2017,236.490005,1115.300049,136.6999969,64.48999786,180.2599945,9.470000267,87.91999817
2/28/2017,236.470001,1179.969971,136.9900055,63.97999954,179.8200073,9.56000042,87.94000244
3/7/2017,237,1223.540039,139.5200043,64.40000153,180.3800049,9.319999695,89.05999756
3/14/2017,236.899994,1240,138.9900055,64.41000366,175.7200012,9.156000137,89.55000305
3/21/2017,233.729996,1120.540039,139.8399963,64.20999908,173.8800049,9.43999958,88.05999756
3/28/2017,235.320007,1047.150024,143.8000031,65.29000092,174.5099945,9.498999596,89.12000275
4/4/2017,235.479996,1133.25,144.7700043,65.73000336,174.5200043,9.529999733,88.77999878
4/11/2017,235.059998,1205.01001,141.6300049,65.48000336,170.5800018,9.619999886,88.84999847
4/18/2017,233.869995,1211.670044,141.1999969,65.38999939,170.0500031,9.678999901,89.73000336
4/25/2017,238.550003,1265.48999,144.5299988,67.91999817,160.3899994,9.579999924,92.11000061
5/2/2017,238.770004,1452.819946,147.5099945,69.30000305,159.1000061,9.510000229,92.54000092
5/9/2017,239.440002,1755.359985,153.9900055,69.04000092,152.1100006,9.260000229,92
5/16/2017,240.080002,1734.449951,155.4700012,69.41000366,153.6799927,9.371999741,93.15000153
5/23/2017,240.050003,2320.419922,153.8000031,68.68000031,152.0299988,9.350000381,93.86000061
5/30/2017,241.5,2175.469971,153.6699982,70.41000366,151.7299957,9.420000076,94.72000122
6/6/2017,243.210007,2863.199951,154.4499969,72.51999664,152.3699951,9.510000229,95.79000092
6/13/2017,244.550003,2717.02002,146.5899963,70.65000153,154.25,9.380000114,95.08000183
6/20/2017,243.009995,2721.790039,145.0099945,69.91000366,154.9499969,9.234999657,94.37999725
6/27/2017,241.330002,2552.449951,143.7299957,69.20999908,154.75,9.270000458,94.90000153
7/4/2017,241.33,2601.639893,143.7299957,69.20999908,154.75,9.270000458,94.90000153
7/11/2017,242.190002,2337.790039,145.5299988,69.98999786,153.1900024,9.020000458,95.41000366
7/18/2017,245.660004,2318.879883,150.0800018,73.30000305,154,9.119999886,97.58000183
7/25/2017,247.419998,2576.47998,152.7400055,74.19000244,146.1900024,9.159999847,99.98999786
8/1/2017,247.320007,2718.26001,150.0500031,72.58000183,145.3000031,9.239999771,100.8700027
8/8/2017,247.259995,3419.939941,160.0800018,72.79000092,142.1100006,9.243000031,101.2799988
8/15/2017,246.509995,4181.930176,161.6000061,73.22000122,142.0700073,9.220000267,102.6299973
8/22/2017,245.440002,4100.52002,159.7799988,73.16000366,141.0099945,9.265000343,104.0699997
8/29/2017,244.850006,4579.02002,162.9100037,73.05000305,143.1399994,9.359999657,103.7699966
9/5/2017,246.059998,4376.529785,162.0800018,73.61000061,143.0399933,9.456000328,103.0100021
9/12/2017,250.050003,4130.810059,160.8600006,74.68000031,145.7599945,9.43999958,106.2099991
9/19/2017,249.970001,3924.969971,158.7299957,75.44000244,144.3899994,9.239999771,105.4100037
9/26/2017,249.080002,3892.350098,153.1399994,73.26000214,146.5599976,9.170000076,102.9400024
10/3/2017,252.860001,4317.47998,154.4799957,74.26000214,146.7799988,9.010000229,105.5899963
10/10/2017,254.619995,4781.990234,155.8999939,76.29000092,148.5,9.109999657,107.3099976
10/17/2017,255.470001,5605.509766,160.4700012,77.58999634,146.5399933,9.109999657,107.5400009
10/24/2017,256.559998,5526.640137,157.1000061,78.86000061,155.8800049,8.977999687,108.4100037
10/31/2017,257.149994,6468.399902,169.0399933,83.18000031,154.0599976,8.909999847,109.9800034
11/7/2017,258.670013,7144.379883,174.8099976,84.26999664,151.3500061,8.970000267,112.0899963
11/14/2017,257.730011,6635.75,171.3399963,84.05000305,148.8899994,9,111.9800034
11/21/2017,259.98999,8071.259766,173.1399994,83.72000122,151.9499969,8.930000305,111.4499969
11/28/2017,262.869995,10058.79981,173.0700073,84.87999725,152.4700012,9.029999733,113.3600006
12/5/2017,263.190002,11916.7002,169.6399994,81.58999634,155.3500061,8.840000153,108.5800018
12/12/2017,266.779999,17415.40039,171.6999969,85.58000183,156.7400055,8.680000305,113.4599991
12/19/2017,267.170013,17776.69922,174.5399933,85.83000183,153.2299957,8.779999733,112.1399994
12/26/2017,267.190002,16099.79981,170.5700073,85.40000153,152.8300018,8.920000076,112.9899979
1/2/2018,268.769989,14982.09961,172.2599945,85.94999695,154.25,9.079999924,114.5100021
1/9/2018,274.540009,14595.40039,174.3300018,88.22000122,163.8300018,9.079999924,119.1100006
1/16/2018,276.970001,11490.5,176.1900024,88.34999847,163.8500061,9.187000275,120.3899994
1/23/2018,283.290009,10868.40039,177.0399933,91.90000153,166.25,9.199999809,124.6500015
1/30/2018,281.76001,10106.29981,166.9700012,92.73999786,163.6199951,9.18999958,123.5500031
2/6/2018,269.130005,7754,163.0299988,91.33000183,155.3399963,9.090999603,119.9700012
2/13/2018,266,8598.30957,164.3399963,89.83000183,150.75,9.130000114,118.3499985
2/20/2018,271.399994,11403.7002,171.8500061,92.72000122,155.1600037,9.149999619,122.0100021
2/27/2018,274.429993,10725.59961,178.3899994,94.19999695,156.5500031,9.06099987,123.3700027
3/6/2018,272.880005,10779.90039,176.6699982,93.31999969,155.7200012,9.180000305,121.0599976
3/13/2018,276.720001,9194.849609,179.9700012,94.41000366,159.3200073,9.119999886,123.1999969
3/20/2018,270.950012,8913.469727,175.2400055,93.12999725,156.1999969,9.031000137,124.9100037
3/27/2018,260.600006,7833.040039,168.3399963,89.47000122,151.9100037,9.210000038,117.4000015
4/3/2018,260.769989,7456.109863,168.3899994,89.70999908,149.8500061,9.140000343,119.1999969
4/10/2018,265.149994,6834.759766,173.25,92.87999725,155.3899994,9.199999809,120.7200012
4/17/2018,270.190002,7902.089844,178.2400055,96.06999969,160.9100037,9.229999542,123.8000031
4/24/2018,262.980011,9697.5,162.9400024,93.12000275,145.5599976,9.100000381,121.2699966
5/1/2018,264.980011,9119.009766,169.1000061,95,145,8.960000038,127.5100021
5/8/2018,266.920013,9234.820313,186.0500031,95.80999756,143,9.020000458,129.8999939
5/15/2018,271.100006,8510.379883,186.4400024,97.31999969,143.7400055,8.866000175,131.1000061
