Date,AAPL,MSFT,IBM,AABA,GLDI,V
9/18/2015,113.4499969,43.47999954,144.5099945,30.73999977,11.05000019,69.79000092
9/21/2015,115.2099991,44.11000061,146.4799957,31.17000008,11.03999996,70.77999878
9/22/2015,113.4000015,43.90000153,144.4299927,30.39999962,10.93000031,70.25
9/23/2015,114.3199997,43.86999893,143.6600037,29.73999977,11.01900005,70.94999695
9/24/2015,115,43.90999985,144.4100037,29.34000015,11.11999989,70.23999786
9/25/2015,114.7099991,43.93999863,145.4199982,29.12999916,11.13599968,70.69000244
9/28/2015,112.4400024,43.29000092,142.5200043,27.60000038,11.03999996,67.19999695
9/29/2015,109.0599976,43.43999863,142.4700012,28.26000023,11,68.52999878
9/30/2015,110.3000031,44.25999832,144.9700012,28.90999985,10.90999985,69.66000366
10/1/2015,109.5800018,44.61000061,143.5899963,28.90999985,10.90200043,69.98999786
10/2/2015,110.3799973,45.56999969,144.5800018,30.70999908,11.14000034,70.66999817
10/5/2015,110.7799988,46.63000107,149.0399933,30.85000038,11.06900024,72.23000336
10/6/2015,111.3099976,46.75,148.7799988,30.95499992,11.18099976,72.08000183
10/7/2015,110.7799988,46.79999924,150.0899963,31.87000084,11.18999958,73.22000122
10/8/2015,109.5,47.45000076,152.2799988,32.36999893,11.14999962,73.90000153
10/9/2015,112.1200027,47.11000061,152.3899994,32.52000046,11.25599957,73.98000336
10/12/2015,111.5999985,47,151.1399994,32.86000061,11.25,74.98999786
10/13/2015,111.7900009,46.88999939,149.6199951,32.34000015,11.31000042,75
10/14/2015,110.2099991,46.68000031,150.0099945,32.09000015,11.42000008,74.19999695
10/15/2015,111.8600006,47.00999832,150.0899963,33.47999954,11.38099957,75.33999634
10/16/2015,111.0400009,47.50999832,150.3899994,33.36999893,11.39000034,76
10/19/2015,111.7300034,47.61999893,149.2200012,33.5,11.30000019,76.98999786
10/20/2015,113.7699966,47.77000046,140.6399994,32.83000183,11.28999996,76.27999878
10/21/2015,113.7600021,47.20000076,140.9199982,31.12000084,11.27400017,75.45999908
10/22/2015,115.5,48.02999878,144.0899963,31.67000008,11.28800011,76.41999817
10/23/2015,119.0800018,52.86999893,144.6799927,33.16999817,11.25,77.06999969
10/26/2015,115.2799988,54.25,143.6600037,33.40000153,11.2510004,78.18000031
10/27/2015,114.5500031,53.68999863,137.8600006,34.29999924,11.31000042,77.51999664
10/28/2015,119.2699966,53.97999954,140.8300018,35.18500137,11.19999981,78.87000275
10/29/2015,120.5299988,53.36000061,140.5500031,35.04999924,11.18999958,78.51000214
10/30/2015,119.5,52.63999939,140.0800018,35.61999893,11.10999966,77.58000183
11/2/2015,121.1800003,53.24000168,140.3699951,35.27000046,11.13700008,75.22000122
11/3/2015,122.5699997,54.15000153,141.8800049,34.72000122,11.01000023,77.90000153
11/4/2015,122,54.40000153,141.6300049,35.06999969,10.85999966,78.34999847
11/5/2015,120.9199982,54.38000107,139.8899994,35.11999893,10.81000042,79.26000214
11/6/2015,121.0599976,54.91999817,138.25,34.20000076,10.67000008,78.75
11/9/2015,120.5699997,54.15999985,135.3099976,33.68000031,10.64999962,78.04000092
11/10/2015,116.7699966,53.50999832,135.4700012,33.99000168,10.72000027,79.48000336
11/11/2015,116.1100006,53.65000153,135.0200043,33.38000107,10.71000004,79.18000031
11/12/2015,115.7200012,53.31999969,133.0399933,33.22999954,10.60000038,78.30999756
11/13/2015,112.3399963,52.84000015,131.75,32.18999863,10.57299995,78.11000061
11/16/2015,114.1800003,53.77000046,133.7100067,32.94499969,10.60000038,78.90000153
11/17/2015,113.6900024,52.97000122,133.8200073,32.86000061,10.52000046,78.83000183
