Date,AAPL,MSFT,IBM,AABA,GLDI
2017-09-14,158.28,74.77,145.54,66.08,9.43
2017-09-15,159.88,75.31,144.82,66.41,9.4
2017-09-18,158.67,75.16,144.55,67.11,9.3
2017-09-19,158.73,75.44,144.39,67.43,9.24
2017-09-20,156.07,74.94,145.88,66.92,9.19
2017-09-21,153.39,74.21,145.26,66.59,9.13
2017-09-22,151.89,74.41,145.13,67.34,9.17
2017-09-25,150.55,73.26,145.87,64.96,9.27
2017-09-26,153.14,73.26,146.56,64.45,9.17
2017-09-27,154.23,73.85,145.66,65.8,9.08
2017-09-28,153.28,73.87,145.66,65.58,9.1
2017-09-29,154.12,74.49,145.08,66.24,9.07
2017-10-02,153.81,74.61,146.66,66.51,9.0
2017-10-03,154.48,74.26,146.78,67.81,9.01
2017-10-04,153.48,74.69,146.48,67.66,9.01
2017-10-05,155.39,75.97,146.72,67.72,8.95
2017-10-06,155.3,76.0,146.48,67.85,8.99
2017-10-09,155.84,76.29,147.39,68.74,9.06
2017-10-10,155.9,76.29,148.5,68.93,9.11
2017-10-11,156.55,76.42,148.04,69.22,9.13
2017-10-12,156.0,77.12,147.03,67.91,9.13
2017-10-13,156.99,77.49,147.1,67.52,9.2
2017-10-16,159.88,77.65,146.83,68.04,9.16
2017-10-17,160.47,77.59,146.54,66.78,9.11
2017-10-18,159.76,77.61,159.53,67.79,9.08
2017-10-19,155.98,77.91,160.9,67.45,9.02
2017-10-20,156.25,78.81,162.07,67.51,8.98
2017-10-23,156.17,78.83,159.55,66.51,8.97
2017-10-24,157.1,78.86,155.88,66.61,8.98
2017-10-25,156.41,78.63,153.5,65.4,8.97
2017-10-26,157.41,78.76,153.6,65.57,8.9
2017-10-27,163.05,83.81,153.68,67.52,8.92
2017-10-30,166.72,83.89,154.36,68.86,8.97
2017-10-31,169.04,83.18,154.06,70.12,8.91
2017-11-01,166.89,83.18,154.03,70.59,8.95
2017-11-02,168.11,84.05,153.35,70.51,8.96
2017-11-03,172.5,84.14,151.58,70.23,8.93
2017-11-06,174.25,84.47,150.84,71.71,8.99
2017-11-07,174.81,84.27,151.35,72.22,8.97
2017-11-08,176.24,84.56,151.57,71.16,9.0
2017-11-09,175.88,84.09,150.3,70.19,9.02
2017-11-10,174.67,83.87,149.16,70.55,8.94
2017-11-13,173.97,83.93,148.4,70.27,9.02
2017-11-14,171.34,84.05,148.89,69.52,9.0
2017-11-15,169.08,82.98,147.1,69.43,8.98
2017-11-16,171.1,83.2,149.12,70.75,9.0
2017-11-17,170.15,82.4,148.97,71.02,9.08
